index,singlish,english
6544,"Wah, this month got extra savings.","Wow, there's extra savings this month."
6545,Must plan your budget every month.,You need to plan your budget every month.
6546,Don't spend all your money on clothes.,Don't spend all your money on clothes.
6547,"Wah, this investment very good leh.","Wow, this investment is very good."
6548,Must have a savings goal.,You need to have a savings goal.
6549,Don't forget to save for big purchases.,Don't forget to save for big purchases.
6550,"Wah, this month expenses very low.","Wow, the expenses are very low this month."
6551,Must be mindful of your spending habits.,You need to be mindful of your spending habits.
6552,Don't spend all your money on dining out.,Don't spend all your money on dining out.
6553,"Wah, this deal very worth it leh.","Wow, this deal is very worth it."
6554,Must save for your future needs.,You need to save for your future needs.
6555,Don't forget to budget for transportation.,Don't forget to budget for transportation.
6556,"Wah, this month got extra expenses.","Wow, there are extra expenses this month."
6557,Must be careful with your investments.,You need to be careful with your investments.
6558,Don't spend all your money on travel.,Don't spend all your money on travel.
6559,"Wah, this investment very promising leh.","Wow, this investment is very promising."
6560,Must have a financial cushion.,You need to have a financial cushion.
6561,Don't forget to save for your goals.,Don't forget to save for your goals.
6562,"Wah, this month expenses very manageable.","Wow, the expenses are very manageable this month."
6563,Must be smart with your money.,You need to be smart with your money.
6564,Don't spend all your money on hobbies.,Don't spend all your money on hobbies.
6565,"Wah, this deal very good value leh.","Wow, this deal is very good value."
6566,Must save for your long-term goals.,You need to save for your long-term goals.
6567,Don't forget to budget for utilities.,Don't forget to budget for utilities.
6568,"Wah, this month got unexpected expenses.","Wow, there are unexpected expenses this month."
6569,Must be prudent with your finances.,You need to be prudent with your finances.
6570,Don't spend all your money on fun.,Don't spend all your money on fun.
6571,"Wah, this investment very stable leh.","Wow, this investment is very stable."
6572,Must have a clear financial plan.,You need to have a clear financial plan.
6573,Don't forget to save for your dreams.,Don't forget to save for your dreams.
6574,"Wah, this month expenses very tight.","Wow, the expenses are very tight this month."
6575,Must be wise with your spending.,You need to be wise with your spending.
6576,Don't spend all your money on leisure.,Don't spend all your money on leisure.
6577,"Wah, this deal very attractive leh.","Wow, this deal is very attractive."
6578,Must save for your future plans.,You need to save for your future plans.
6579,Don't forget to budget for savings.,Don't forget to budget for savings.
6580,"Wah, this month got extra spending.","Wow, there's extra spending this month."
6581,Must be cautious with your budget.,You need to be cautious with your budget.
6582,Don't spend all your money on luxury items.,Don't spend all your money on luxury items.
6583,"Wah, this investment very secure leh.","Wow, this investment is very secure."
6584,Must have a solid financial plan.,You need to have a solid financial plan.
6585,Don't forget to save for your family.,Don't forget to save for your family.
6586,"Wah, this month expenses very high.","Wow, the expenses are very high this month."
6587,Must be careful with your budget.,You need to be careful with your budget.
6588,Don't spend all your money on unnecessary things.,Don't spend all your money on unnecessary things.
6589,"Wah, this deal very good leh.","Wow, this deal is very good."
6590,Must save for your future security.,You need to save for your future security.
6591,Don't forget to budget for emergencies.,Don't forget to budget for emergencies.
6592,"Wah, this month got extra costs.","Wow, there are extra costs this month."
6593,Must be smart with your budget.,You need to be smart with your budget.
6594,Don't spend all your money on wants.,Don't spend all your money on wants.
6595,"Wah, this investment very reliable leh.","Wow, this investment is very reliable."
6596,Must have a good financial plan.,You need to have a good financial plan.
6597,Don't forget to save for your needs.,Don't forget to save for your needs.
6598,"Wah, this month expenses very manageable.","Wow, the expenses are very manageable this month."
6599,Must be wise with your budget.,You need to be wise with your budget.
6600,Don't spend all your money on non-essentials.,Don't spend all your money on non-essentials.
6701,"Wah, this online sale damn shiok!","Wow, this online sale is really great!"
6702,"I buy so many things online, my wallet cry already.","I bought so many things online, my wallet is crying."
6703,"Eh, you got see the Lazada flash sale or not?","Hey, did you see the Lazada flash sale?"
6704,"Shopee got free shipping, must buy more!","Shopee has free shipping, I must buy more!"
6705,"Aiyo, my parcel still haven't arrive leh.","Oh no, my parcel still hasn't arrived."
6706,I always check reviews before buying online.,I always check reviews before buying online.
6707,This website got a lot of good deals sia.,This website has a lot of good deals.
6708,"I prefer to shop online, no need to go out.","I prefer to shop online, no need to go out."
6709,"Online shopping is so convenient, can do anytime.","Online shopping is so convenient, you can do it anytime."
6710,I always wait for 11.11 to buy things online.,I always wait for 11.11 to buy things online.
6711,"Wah, this discount code really save a lot of money.","Wow, this discount code really saves a lot of money."
6712,I like to compare prices on different websites.,I like to compare prices on different websites.
6713,"Sometimes the delivery take very long, very sian.","Sometimes the delivery takes very long, it's very frustrating."
6714,I always look for free shipping when shopping online.,I always look for free shipping when shopping online.
6715,"Online shopping got so many choices, very good.","Online shopping has so many choices, it's very good."
6716,"I bought this online, cheaper than in store.","I bought this online, it's cheaper than in the store."
6717,I always use cashback apps when shopping online.,I always use cashback apps when shopping online.
6718,"Sometimes the size not accurate, must be careful.","Sometimes the size isn't accurate, you must be careful."
6719,I like to shop online during sales period.,I like to shop online during sales periods.
6720,Online shopping can find things not available in Singapore.,Online shopping allows you to find things not available in Singapore.
6721,I always check for promo codes before buying.,I always check for promo codes before buying.
6722,"Wah, this online store got a lot of variety.","Wow, this online store has a lot of variety."
6723,I like to read customer reviews before purchasing.,I like to read customer reviews before purchasing.
6724,"Sometimes the product not same as picture, very disappointing.","Sometimes the product isn't the same as the picture, it's very disappointing."
6725,"I always track my parcel online, very convenient.","I always track my parcel online, it's very convenient."
6726,I prefer to pay by credit card when shopping online.,I prefer to pay by credit card when shopping online.
6727,Online shopping can save a lot of time.,Online shopping can save a lot of time.
6728,"I like to shop on Taobao, got many cheap things.","I like to shop on Taobao, there are many cheap things."
6729,I always look for the best deals online.,I always look for the best deals online.
6730,"Sometimes the delivery fee very expensive, must check first.","Sometimes the delivery fee is very expensive, you must check first."
6731,I like to shop online because no need to queue.,I like to shop online because there's no need to queue.
6732,"I always buy my clothes online, more choices.","I always buy my clothes online, there are more choices."
6733,Online shopping can compare prices easily.,Online shopping allows you to compare prices easily.
6734,"I like to shop online at night, very relaxing.","I like to shop online at night, it's very relaxing."
6735,"Sometimes the product quality not good, must read reviews.","Sometimes the product quality isn't good, you must read reviews."
6736,I always look for discounts when shopping online.,I always look for discounts when shopping online.
6737,Online shopping can find unique items.,Online shopping allows you to find unique items.
6738,I like to shop online because can do it anytime.,I like to shop online because you can do it anytime.
6739,"Sometimes the delivery very fast, very happy.","Sometimes the delivery is very fast, it makes me very happy."
6740,I always check the return policy before buying online.,I always check the return policy before buying online.
6741,I like to shop online because can find rare items.,I like to shop online because you can find rare items.
6742,"Sometimes the website got technical issues, very frustrating.","Sometimes the website has technical issues, it's very frustrating."
6743,I always use my credit card for online shopping.,I always use my credit card for online shopping.
6744,I like to shop online because can avoid crowds.,I like to shop online because you can avoid crowds.
6745,"Sometimes the product description not accurate, must be careful.","Sometimes the product description isn't accurate, you must be careful."
6746,I always look for the best price before buying online.,I always look for the best price before buying online.
6747,Online shopping can find things not available in stores.,Online shopping allows you to find things not available in stores.
6748,I like to shop online because can do it from home.,I like to shop online because you can do it from home.
6749,"Sometimes the delivery very slow, very sian.","Sometimes the delivery is very slow, it's very frustrating."
6750,I always check the seller's rating before buying.,I always check the seller's rating before buying.
6751,I like to shop online because can find good deals.,I like to shop online because you can find good deals.
6752,"Sometimes the website very slow, very frustrating.","Sometimes the website is very slow, it's very frustrating."
6753,I always use my debit card for online shopping.,I always use my debit card for online shopping.
6754,I like to shop online because can save time.,I like to shop online because you can save time.
6755,"Sometimes the product not as described, very disappointing.","Sometimes the product isn't as described, it's very disappointing."
6756,I always look for the best deals before buying online.,I always look for the best deals before buying online.
6757,Online shopping can find things not available locally.,Online shopping allows you to find things not available locally.
6758,"I like to shop online because can do it anytime, anywhere.","I like to shop online because you can do it anytime, anywhere."
6759,"Sometimes the delivery very fast, very happy.","Sometimes the delivery is very fast, it makes me very happy."
6760,I always check the return policy before buying online.,I always check the return policy before buying online.
6761,I like to shop online because can find rare items.,I like to shop online because you can find rare items.
6762,"Sometimes the website got technical issues, very frustrating.","Sometimes the website has technical issues, it's very frustrating."
6763,I always use my credit card for online shopping.,I always use my credit card for online shopping.
6764,I like to shop online because can avoid crowds.,I like to shop online because you can avoid crowds.
6765,"Sometimes the product description not accurate, must be careful.","Sometimes the product description isn't accurate, you must be careful."
6766,I always look for the best price before buying online.,I always look for the best price before buying online.
6767,Online shopping can find things not available in stores.,Online shopping allows you to find things not available in stores.
6768,I like to shop online because can do it from home.,I like to shop online because you can do it from home.
6769,"Sometimes the delivery very slow, very sian.","Sometimes the delivery is very slow, it's very frustrating."
6770,I always check the seller's rating before buying.,I always check the seller's rating before buying.
6771,I like to shop online because can find good deals.,I like to shop online because you can find good deals.
6772,"Sometimes the website very slow, very frustrating.","Sometimes the website is very slow, it's very frustrating."
6773,I always use my debit card for online shopping.,I always use my debit card for online shopping.
6774,I like to shop online because can save time.,I like to shop online because you can save time.
6775,"Sometimes the product not as described, very disappointing.","Sometimes the product isn't as described, it's very disappointing."
6776,I always look for the best deals before buying online.,I always look for the best deals before buying online.
6777,Online shopping can find things not available locally.,Online shopping allows you to find things not available locally.
6778,"I like to shop online because can do it anytime, anywhere.","I like to shop online because you can do it anytime, anywhere."
6779,"Sometimes the delivery very fast, very happy.","Sometimes the delivery is very fast, it makes me very happy."
6780,I always check the return policy before buying online.,I always check the return policy before buying online.
6781,I like to shop online because can find rare items.,I like to shop online because you can find rare items.
6782,"Sometimes the website got technical issues, very frustrating.","Sometimes the website has technical issues, it's very frustrating."
6783,I always use my credit card for online shopping.,I always use my credit card for online shopping.
6784,I like to shop online because can avoid crowds.,I like to shop online because you can avoid crowds.
6785,"Sometimes the product description not accurate, must be careful.","Sometimes the product description isn't accurate, you must be careful."
6786,I always look for the best price before buying online.,I always look for the best price before buying online.
6787,Online shopping can find things not available in stores.,Online shopping allows you to find things not available in stores.
6788,I like to shop online because can do it from home.,I like to shop online because you can do it from home.
6789,"Sometimes the delivery very slow, very sian.","Sometimes the delivery is very slow, it's very frustrating."
6790,I always check the seller's rating before buying.,I always check the seller's rating before buying.
6791,I like to shop online because can find good deals.,I like to shop online because you can find good deals.
6792,"Sometimes the website very slow, very frustrating.","Sometimes the website is very slow, it's very frustrating."
6793,I always use my debit card for online shopping.,I always use my debit card for online shopping.
6794,I like to shop online because can save time.,I like to shop online because you can save time.
6795,"Sometimes the product not as described, very disappointing.","Sometimes the product isn't as described, it's very disappointing."
6796,I always look for the best deals before buying online.,I always look for the best deals before buying online.
6797,Online shopping can find things not available locally.,Online shopping allows you to find things not available locally.
6798,"I like to shop online because can do it anytime, anywhere.","I like to shop online because you can do it anytime, anywhere."
6799,"Sometimes the delivery very fast, very happy.","Sometimes the delivery is very fast, it makes me very happy."
6800,I always check the return policy before buying online.,I always check the return policy before buying online.
6901,"Eh bro, your car need servicing already or not?","Hey bro, does your car need servicing?"
6902,"Wah, your tyre so bald liao, better change soon.","Wow, your tyre is so worn out, better change it soon."
6903,"Aiyo, why your engine got weird sound one?","Oh dear, why does your engine have a weird sound?"
6904,"Don't forget to top up your engine oil, very important.","Don't forget to top up your engine oil, it's very important."
6905,"Your brake pads need to change liao, very dangerous leh.","Your brake pads need to be changed, it's very dangerous."
6906,"Better check your aircon, like not cold anymore.","Better check your air conditioning, it doesn't seem cold anymore."
6907,Your car battery how long never change already?,How long has it been since you last changed your car battery?
6908,"Wah, your car so dirty, go wash lah.","Wow, your car is so dirty, go wash it."
6909,"Don't forget to rotate your tyres, must balance one.","Don't forget to rotate your tyres, they need to be balanced."
6910,"Your wiper spoil already, cannot see properly when rain.","Your wiper is broken, you can't see properly when it rains."
69111,"Eh, your car alignment off already, better go check.","Hey, your car's alignment is off, better go check it."
6912,"Your headlights so dim, change the bulb lah.","Your headlights are so dim, change the bulb."
6913,"Don't forget to check your coolant level, very important.","Don't forget to check your coolant level, it's very important."
6914,"Your exhaust got black smoke, something wrong leh.","Your exhaust has black smoke, something is wrong."
6915,"Better check your spark plugs, might need to change.","Better check your spark plugs, they might need to be changed."
6916,"Your car got funny smell, maybe something spoil.","Your car has a funny smell, maybe something is broken."
6917,"Don't forget to check your transmission fluid, very important.","Don't forget to check your transmission fluid, it's very important."
6918,"Your car got oil leak, better fix it fast.","Your car has an oil leak, better fix it quickly."
6919,"Wah, your car so noisy, better check the muffler.","Wow, your car is so noisy, better check the muffler."
6920,"Your car air filter dirty already, must change.","Your car's air filter is dirty, it needs to be changed."
6921,Don't forget to check your power steering fluid.,Don't forget to check your power steering fluid.
6922,"Your car got rust, better do something about it.","Your car has rust, better do something about it."
6923,"Eh, your car got dent, go fix lah.","Hey, your car has a dent, go fix it."
6924,"Your car suspension got problem, very bumpy.","Your car's suspension has a problem, it's very bumpy."
6925,"Don't forget to check your timing belt, very important.","Don't forget to check your timing belt, it's very important."
6926,"Your car got water leak, better check the seals.","Your car has a water leak, better check the seals."
6927,"Wah, your car paint so faded, need to polish.","Wow, your car's paint is so faded, it needs to be polished."
6928,"Your car horn spoil already, better fix it.","Your car horn is broken, better fix it."
6929,"Don't forget to check your fuel filter, very important.","Don't forget to check your fuel filter, it's very important."
6930,"Your car got funny noise when turning, better check.","Your car makes a funny noise when turning, better check it."
6931,"Your car seatbelt not working, very dangerous.","Your car's seatbelt is not working, it's very dangerous."
6932,Don't forget to check your car's computer system.,Don't forget to check your car's computer system.
6933,"Your car's GPS not working, better fix it.","Your car's GPS is not working, better fix it."
6934,"Wah, your car's sound system so good.","Wow, your car's sound system is so good."
6935,"Your car's airbag light on, better check.","Your car's airbag light is on, better check it."
6936,Don't forget to check your car's emission system.,Don't forget to check your car's emission system.
6937,"Your car's heater not working, better fix it.","Your car's heater is not working, better fix it."
6938,"Wah, your car's interior so clean.","Wow, your car's interior is so clean."
6939,"Your car's sunroof got problem, better check.","Your car's sunroof has a problem, better check it."
6940,Don't forget to check your car's alternator.,Don't forget to check your car's alternator.
6941,"Your car's radiator got leak, better fix it.","Your car's radiator has a leak, better fix it."
6942,"Wah, your car's rims so shiny.","Wow, your car's rims are so shiny."
6943,"Your car's fuel gauge not working, better fix it.","Your car's fuel gauge is not working, better fix it."
6944,Don't forget to check your car's oxygen sensor.,Don't forget to check your car's oxygen sensor.
6945,"Your car's catalytic converter got problem, better check.","Your car's catalytic converter has a problem, better check it."
6946,"Wah, your car's dashboard so nice.","Wow, your car's dashboard is so nice."
6947,"Your car's glove box cannot open, better fix it.","Your car's glove box can't open, better fix it."
6948,Don't forget to check your car's serpentine belt.,Don't forget to check your car's serpentine belt.
6949,"Your car's fog lights not working, better fix it.","Your car's fog lights are not working, better fix it."
6950,"Wah, your car's trunk so spacious.","Wow, your car's trunk is so spacious."
6951,"Your car's rearview mirror loose, better fix it.","Your car's rearview mirror is loose, better fix it."
6952,Don't forget to check your car's wheel bearings.,Don't forget to check your car's wheel bearings.
6953,"Your car's windshield got crack, better fix it.","Your car's windshield has a crack, better fix it."
6954,"Wah, your car's seats so comfortable.","Wow, your car's seats are so comfortable."
6955,"Your car's door handle spoil, better fix it.","Your car's door handle is broken, better fix it."
6956,Don't forget to check your car's fuel pump.,Don't forget to check your car's fuel pump.
6957,"Your car's side mirror broken, better fix it.","Your car's side mirror is broken, better fix it."
6958,"Wah, your car's engine so powerful.","Wow, your car's engine is so powerful."
6959,"Your car's license plate light not working, better fix it.","Your car's license plate light is not working, better fix it."
6960,Don't forget to check your car's differential fluid.,Don't forget to check your car's differential fluid.
6961,"Your car's tail light broken, better fix it.","Your car's tail light is broken, better fix it."
6962,"Wah, your car's steering wheel so smooth.","Wow, your car's steering wheel is so smooth."
6963,"Your car's seat adjustment not working, better fix it.","Your car's seat adjustment is not working, better fix it."
6964,Don't forget to check your car's brake fluid.,Don't forget to check your car's brake fluid.
6965,"Your car's window cannot wind down, better fix it.","Your car's window can't wind down, better fix it."
6966,"Wah, your car's headlights so bright.","Wow, your car's headlights are so bright."
6967,"Your car's door lock not working, better fix it.","Your car's door lock is not working, better fix it."
6968,Don't forget to check your car's air suspension.,Don't forget to check your car's air suspension.
6969,"Your car's roof lining sagging, better fix it.","Your car's roof lining is sagging, better fix it."
6970,"Wah, your car's paint job so nice.","Wow, your car's paint job is so nice."
6971,"Your car's fuel cap missing, better replace it.","Your car's fuel cap is missing, better replace it."
6972,Don't forget to check your car's turbocharger.,Don't forget to check your car's turbocharger.
6973,"Your car's rear bumper got scratch, better fix it.","Your car's rear bumper has a scratch, better fix it."
6974,"Wah, your car's engine bay so clean.","Wow, your car's engine bay is so clean."
6975,"Your car's fog light cover missing, better replace it.","Your car's fog light cover is missing, better replace it."
6976,Don't forget to check your car's drive belt.,Don't forget to check your car's drive belt.
6977,"Your car's side skirt loose, better fix it.","Your car's side skirt is loose, better fix it."
6978,"Wah, your car's exhaust sound so nice.","Wow, your car's exhaust sounds so nice."
6979,"Your car's rearview camera not working, better fix it.","Your car's rearview camera is not working, better fix it."
6980,Don't forget to check your car's oil filter.,Don't forget to check your car's oil filter.
6981,"Your car's front bumper got dent, better fix it.","Your car's front bumper has a dent, better fix it."
6982,"Wah, your car's interior lights so bright.","Wow, your car's interior lights are so bright."
6983,"Your car's door hinge got problem, better fix it.","Your car's door hinge has a problem, better fix it."
6984,Don't forget to check your car's fuel injectors.,Don't forget to check your car's fuel injectors.
6985,"Your car's rear window defroster not working, better fix it.","Your car's rear window defroster is not working, better fix it."
6986,"Wah, your car's alloy wheels so nice.","Wow, your car's alloy wheels are so nice."
6987,"Your car's trunk latch not working, better fix it.","Your car's trunk latch is not working, better fix it."
6988,Don't forget to check your car's radiator hose.,Don't forget to check your car's radiator hose.
6989,"Your car's side window got crack, better fix it.","Your car's side window has a crack, better fix it."
6990,"Wah, your car's leather seats so nice.","Wow, your car's leather seats are so nice."
6991,"Your car's sun visor broken, better fix it.","Your car's sun visor is broken, better fix it."
6992,Don't forget to check your car's water pump.,Don't forget to check your car's water pump.
6993,"Your car's rear spoiler loose, better fix it.","Your car's rear spoiler is loose, better fix it."
6994,"Wah, your car's engine sound so smooth.","Wow, your car's engine sounds so smooth."
6995,"Your car's headrest not adjustable, better fix it.","Your car's headrest is not adjustable, better fix it."
6996,Don't forget to check your car's brake lights.,Don't forget to check your car's brake lights.
6997,"Your car's front grille got damage, better fix it.","Your car's front grille is damaged, better fix it."
6998,"Wah, your car's dashboard lights so clear.","Wow, your car's dashboard lights are so clear."
6999,"Your car's seatbelt buckle not working, better fix it.","Your car's seatbelt buckle is not working, better fix it."
7000,Don't forget to check your car's engine mounts.,Don't forget to check your car's engine mounts.
7001,"Wah, this weekend must paint the house leh.","Wow, we need to paint the house this weekend."
7002,"Eh, the kitchen cabinet door spoil already, need to fix.","Hey, the kitchen cabinet door is broken, it needs to be fixed."
7003,"Aiyo, the toilet bowl leaking again.","Oh dear, the toilet bowl is leaking again."
7004,Can help me drill hole for the new shelf?,Can you help me drill a hole for the new shelf?
7005,"The living room light very dim, must change bulb.","The living room light is very dim, we need to change the bulb."
7006,"This weekend we paint the house, okay?","Let's paint the house this weekend, okay?"
7007,"The aircon not cold, need to service.","The air conditioner isn't cold, it needs servicing."
7008,"Wah, the new curtains look so nice!","Wow, the new curtains look so nice!"
7009,Can you help me fix the tap? It's leaking.,Can you help me fix the tap? It's leaking.
7010,"The wall got crack, must repair.","The wall has a crack, it needs to be repaired."
7011,"The fan very noisy, need to oil.","The fan is very noisy, it needs to be oiled."
70112,"The door hinge rusty, must change.","The door hinge is rusty, it needs to be changed."
7013,Can help me install the new light fixture?,Can you help me install the new light fixture?
7014,"The window latch spoil, need to replace.","The window latch is broken, it needs to be replaced."
7015,"Wah, the new paint color very nice!","Wow, the new paint color is very nice!"
7016,"The sink choke again, must clear.","The sink is clogged again, it needs to be cleared."
7017,Can you help me assemble the new furniture?,Can you help me assemble the new furniture?
7018,"The floor tile crack, need to replace.","The floor tile is cracked, it needs to be replaced."
7019,"The curtain rod loose, must tighten.","The curtain rod is loose, it needs to be tightened."
7020,"The fridge not cold, need to check.","The fridge isn't cold, it needs to be checked."
7021,"The washing machine spoil, must repair.","The washing machine is broken, it needs to be repaired."
7022,Can help me change the door lock?,Can you help me change the door lock?
7023,"The ceiling got water stain, must fix.","The ceiling has a water stain, it needs to be fixed."
7024,"The garden need new plants, let's go buy.","The garden needs new plants, let's go buy some."
7025,"The TV antenna not working, need to adjust.","The TV antenna isn't working, it needs to be adjusted."
7026,"The doorbell spoil, must replace.","The doorbell is broken, it needs to be replaced."
7027,"The bathroom tiles very dirty, need to clean.","The bathroom tiles are very dirty, they need to be cleaned."
7028,"The garden fence broken, must repair.","The garden fence is broken, it needs to be repaired."
7029,"The roof got leak, need to fix.","The roof has a leak, it needs to be fixed."
7030,"The garage door not opening, must check.","The garage door isn't opening, it needs to be checked."
7031,"The water heater not working, need to repair.","The water heater isn't working, it needs to be repaired."
7032,"The garden need new soil, let's buy some.","The garden needs new soil, let's buy some."
7033,"The living room carpet very old, must replace.","The living room carpet is very old, it needs to be replaced."
7034,"The kitchen sink tap leaking, need to fix.","The kitchen sink tap is leaking, it needs to be fixed."
7035,"The bedroom wall need new paint, let's do it.","The bedroom wall needs new paint, let's do it."
7036,"The garden hose spoil, must buy new one.","The garden hose is broken, we need to buy a new one."
7037,"The bathroom mirror crack, need to replace.","The bathroom mirror is cracked, it needs to be replaced."
7038,"The kitchen floor very slippery, must clean.","The kitchen floor is very slippery, it needs to be cleaned."
7039,"The living room sofa very old, must buy new one.","The living room sofa is very old, we need to buy a new one."
7040,"The bedroom curtain rod loose, need to fix.","The bedroom curtain rod is loose, it needs to be fixed."
7041,"The garden need new flowers, let's plant some.","The garden needs new flowers, let's plant some."
7042,"The kitchen cabinet door loose, must tighten.","The kitchen cabinet door is loose, it needs to be tightened."
7043,"The bathroom sink choke, need to clear.","The bathroom sink is clogged, it needs to be cleared."
7044,"The living room light switch spoil, must replace.","The living room light switch is broken, it needs to be replaced."
7045,"The bedroom door hinge rusty, need to change.","The bedroom door hinge is rusty, it needs to be changed."
7046,"The garden fence need new paint, let's do it.","The garden fence needs new paint, let's do it."
7047,"The kitchen floor tile crack, must replace.","The kitchen floor tile is cracked, it needs to be replaced."
7048,"The bathroom shower head leaking, need to fix.","The bathroom shower head is leaking, it needs to be fixed."
7049,"The living room curtain very old, must buy new one.","The living room curtain is very old, we need to buy a new one."
7050,"The bedroom wall got stain, need to clean.","The bedroom wall has a stain, it needs to be cleaned."
7051,"The garden need new grass, let's plant some.","The garden needs new grass, let's plant some."
7052,"The kitchen sink pipe leaking, must fix.","The kitchen sink pipe is leaking, it needs to be fixed."
7053,"The bathroom floor very slippery, need to clean.","The bathroom floor is very slippery, it needs to be cleaned."
7054,"The living room carpet got stain, must clean.","The living room carpet has a stain, it needs to be cleaned."
7055,"The bedroom curtain rod broken, need to replace.","The bedroom curtain rod is broken, it needs to be replaced."
7056,"The garden need new plants, let's buy some.","The garden needs new plants, let's buy some."
7057,"The kitchen cabinet handle loose, must tighten.","The kitchen cabinet handle is loose, it needs to be tightened."
7058,"The bathroom mirror very dirty, need to clean.","The bathroom mirror is very dirty, it needs to be cleaned."
7059,"The living room light bulb spoil, must replace.","The living room light bulb is broken, it needs to be replaced."
7060,"The bedroom door lock spoil, need to change.","The bedroom door lock is broken, it needs to be changed."
7061,"The garden fence very old, must repair.","The garden fence is very old, it needs to be repaired."
7062,"The kitchen floor very dirty, need to clean.","The kitchen floor is very dirty, it needs to be cleaned."
7063,"The bathroom sink tap loose, must tighten.","The bathroom sink tap is loose, it needs to be tightened."
7064,"The living room sofa got stain, need to clean.","The living room sofa has a stain, it needs to be cleaned."
7065,"The bedroom wall need new paint, let's do it.","The bedroom wall needs new paint, let's do it."
7066,"The garden hose leaking, must replace.","The garden hose is leaking, it needs to be replaced."
7067,"The kitchen sink choke, need to clear.","The kitchen sink is clogged, it needs to be cleared."
7068,"The bathroom floor tile crack, must replace.","The bathroom floor tile is cracked, it needs to be replaced."
7069,"The living room curtain rod loose, need to fix.","The living room curtain rod is loose, it needs to be fixed."
7070,"The bedroom carpet very old, must replace.","The bedroom carpet is very old, it needs to be replaced."
7071,"The garden need new flowers, let's plant some.","The garden needs new flowers, let's plant some."
7072,"The kitchen cabinet door hinge rusty, must change.","The kitchen cabinet door hinge is rusty, it needs to be changed."
7073,"The bathroom sink pipe leaking, need to fix.","The bathroom sink pipe is leaking, it needs to be fixed."
7074,"The living room light switch loose, must tighten.","The living room light switch is loose, it needs to be tightened."
7075,"The bedroom door hinge broken, need to replace.","The bedroom door hinge is broken, it needs to be replaced."
7076,"The garden fence need new paint, let's do it.","The garden fence needs new paint, let's do it."
7077,"The kitchen floor tile loose, must fix.","The kitchen floor tile is loose, it needs to be fixed."
7078,"The bathroom shower head spoil, need to replace.","The bathroom shower head is broken, it needs to be replaced."
7079,"The living room curtain very dirty, must clean.","The living room curtain is very dirty, it needs to be cleaned."
7080,"The bedroom wall got crack, need to repair.","The bedroom wall has a crack, it needs to be repaired."
7081,"The garden need new grass, let's plant some.","The garden needs new grass, let's plant some."
7082,"The kitchen sink tap spoil, must replace.","The kitchen sink tap is broken, it needs to be replaced."
7083,"The bathroom floor very dirty, need to clean.","The bathroom floor is very dirty, it needs to be cleaned."
7084,"The living room carpet very old, must replace.","The living room carpet is very old, it needs to be replaced."
7085,"The bedroom curtain rod broken, need to replace.","The bedroom curtain rod is broken, it needs to be replaced."
7086,"The garden need new plants, let's buy some.","The garden needs new plants, let's buy some."
7087,"The kitchen cabinet handle loose, must tighten.","The kitchen cabinet handle is loose, it needs to be tightened."
7088,"The bathroom mirror very dirty, need to clean.","The bathroom mirror is very dirty, it needs to be cleaned."
7089,"The living room light bulb spoil, must replace.","The living room light bulb is broken, it needs to be replaced."
7090,"The bedroom door lock spoil, need to change.","The bedroom door lock is broken, it needs to be changed."
7091,"The garden fence very old, must repair.","The garden fence is very old, it needs to be repaired."
7092,"The kitchen floor very dirty, need to clean.","The kitchen floor is very dirty, it needs to be cleaned."
7093,"The bathroom sink tap loose, must tighten.","The bathroom sink tap is loose, it needs to be tightened."
7094,"The living room sofa got stain, need to clean.","The living room sofa has a stain, it needs to be cleaned."
7095,"The bedroom wall need new paint, let's do it.","The bedroom wall needs new paint, let's do it."
7096,"The garden hose leaking, must replace.","The garden hose is leaking, it needs to be replaced."
7097,"The kitchen sink choke, need to clear.","The kitchen sink is clogged, it needs to be cleared."
7098,"The bathroom floor tile crack, must replace.","The bathroom floor tile is cracked, it needs to be replaced."
7099,"The living room curtain rod loose, need to fix.","The living room curtain rod is loose, it needs to be fixed."
7100,"The bedroom carpet very old, must replace.","The bedroom carpet is very old, it needs to be replaced."
7101,"Wah, this paint colour damn nice leh.","Wow, this paint colour is really nice."
7102,"Eh, you think this sofa too big for the living room or not?","Hey, do you think this sofa is too big for the living room?"
7103,"Aiyo, the contractor say need one more week to finish.","Oh dear, the contractor said they need one more week to finish."
7104,Can we put the TV here ah?,Can we place the TV here?
7105,This wallpaper pattern very old school leh.,This wallpaper pattern looks very old-fashioned.
7106,I think we need more storage space in the kitchen.,I think we need more storage space in the kitchen.
7107,You sure this light fixture will match the dining table?,Are you sure this light fixture will match the dining table?
7108,"Wah, this new flooring very shiok to walk on.","Wow, this new flooring feels great to walk on."
7109,Can we change the curtains to something lighter?,Can we change the curtains to something lighter?
7110,This cabinet design very modern hor.,This cabinet design is very modern.
7111,I think we need more lights in the study room.,I think we need more lights in the study room.
7112,"Eh, this rug too small for the living room or not?","Hey, is this rug too small for the living room?"
7113,"Aiyo, the tiles in the bathroom cracked already.","Oh no, the tiles in the bathroom are cracked."
7114,Can we put a mirror here ah?,Can we put a mirror here?
7115,This colour scheme very nice leh.,This colour scheme is very nice.
7116,I think we need a bigger dining table.,I think we need a bigger dining table.
7117,You think this bookshelf too tall or not?,Do you think this bookshelf is too tall?
7118,"Wah, this new kitchen layout very spacious.","Wow, this new kitchen layout is very spacious."
7119,Can we change the door to a sliding one?,Can we change the door to a sliding one?
